evaluations raw_y current_y raw_y_best current_y_best violation penalty n_evals x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 14858.1676905323 14907.0676905323 14858.1676905323 14907.0676905323 74.4266717860 48.9000000000 0.0000000000 0.579724 0.593572 0.664863 0.760617 0.192316 0.130109 0.868535 0.376424 0.507099 0.904996 0.623547 0.904922 0.355820 0.729509 0.542401
2 7600.0000000000 7600.0000000000 7600.0000000000 7600.0000000000 38.0000000000 0.0000000000 0.0000000000 0.449368 0.276340 0.769961 0.781316 0.123505 0.627601 0.447653 0.437827 0.491738 0.285923 0.992453 0.715191 0.892452 0.999800 0.566525
3 38804.7612300800 38804.7612300800 7600.0000000000 7600.0000000000 194.0238061504 0.0000000000 0.0000000000 0.454531 0.453012 0.530892 0.999721 0.462807 0.999997 0.657591 0.683333 0.298506 0.565161 0.684490 0.966850 0.510608 0.318674 0.816176
4 18839.9004968967 18839.9004968967 7600.0000000000 7600.0000000000 94.1995024845 0.0000000000 0.0000000000 0.536410 0.175496 0.696011 0.999911 0.175160 0.717015 0.953081 0.446762 0.181619 0.739228 0.626327 0.994622 0.326646 0.543031 0.978180
5 4800.0000000000 4843.9000000000 4800.0000000000 4843.9000000000 24.1219444444 43.9000000000 0.0000000000 0.550421 0.350022 0.814579 0.999612 0.531307 0.820324 0.889553 0.538027 0.240755 0.749806 0.974287 0.976540 0.666018 0.825218 0.969553
6 25600.0000000000 25600.0000000000 4800.0000000000 4843.9000000000 128.0000000000 0.0000000000 0.0000000000 0.877256 0.057674 0.818974 0.931238 0.940676 0.764220 0.648723 0.389243 0.395523 0.649966 0.735235 0.790911 0.559009 0.467392 0.925801
7 12161.2496949731 12170.3496949731 4800.0000000000 4843.9000000000 60.8315262526 9.1000000000 0.0000000000 0.446578 0.168835 0.712647 0.669833 0.423033 0.521788 0.938046 0.687715 0.093224 0.911902 0.651595 0.941690 0.873503 0.711548 0.682231
8 20095.4048347150 20095.4048347150 4800.0000000000 4843.9000000000 100.4770241736 0.0000000000 0.0000000000 0.945073 0.354079 0.682090 0.978603 0.088442 0.997203 0.638821 0.465703 0.984097 0.275714 0.176044 0.931595 0.468257 0.289514 0.927614
9 14411.7545463706 14464.8545463706 4800.0000000000 4843.9000000000 72.2062727319 53.1000000000 0.0000000000 0.649111 0.468849 0.903539 0.466971 0.852686 0.326222 0.829033 0.989378 0.276303 0.915191 0.362203 0.498146 0.263492 0.399522 0.813018
10 21046.3092423456 21060.4092423456 4800.0000000000 4843.9000000000 105.2707128784 14.1000000000 0.0000000000 0.653758 0.703126 0.687936 0.868802 0.440441 0.837389 0.991491 0.600564 0.490113 0.601667 0.605573 0.970900 0.606215 0.606483 0.936039
11 12800.0000000000 12850.3000000000 4800.0000000000 4843.9000000000 64.1397222222 50.3000000000 0.0000000000 0.623347 0.305323 0.812621 0.805260 0.741950 0.706128 0.995066 0.943855 0.507319 0.706261 0.693878 0.994579 0.698775 0.832739 0.940792
12 14576.1226035642 14620.2226035642 4800.0000000000 4843.9000000000 73.0031130178 44.1000000000 0.0000000000 0.606041 0.428131 0.999786 0.578856 0.364746 0.494603 0.665085 0.875683 0.542225 0.721344 0.747495 0.989186 0.618638 0.648182 0.999823
13 4800.0000000000 4877.3000000000 4800.0000000000 4843.9000000000 24.2147222222 77.3000000000 0.0000000000 0.324524 0.175176 0.819034 0.734195 0.998035 0.826739 0.921362 0.670261 0.288118 0.792732 0.997333 0.699003 0.607585 0.997374 0.991978
14 6106.9820260618 6219.1820260618 4800.0000000000 4843.9000000000 30.8465767970 112.2000000000 0.0000000000 0.129304 0.685556 0.998755 0.418561 0.895123 0.725051 0.970757 0.501274 0.313959 0.657790 0.701179 0.960361 0.720892 0.839293 0.931739
15 11862.7416997970 11862.7416997970 4800.0000000000 4843.9000000000 59.3137084990 0.0000000000 0.0000000000 0.088203 0.513793 0.996753 0.828567 0.151327 0.704397 0.907247 0.561416 0.193477 0.731636 0.784807 0.993459 0.762339 0.490841 0.996896
16 20988.9532842462 21011.7532842462 4800.0000000000 4843.9000000000 105.0080997546 22.8000000000 0.0000000000 0.287311 0.321122 0.790485 0.854922 0.380249 0.599804 0.875326 0.661169 0.337675 0.552679 0.855185 0.358312 0.439611 0.795954 0.612062
17 88400.0000000000 88400.0000000000 4800.0000000000 4843.9000000000 442.0000000000 0.0000000000 0.0000000000 0.290660 0.112146 0.745580 0.875693 0.001190 0.712015 0.508059 0.922864 0.024691 0.526552 0.979309 0.753336 0.989544 0.621785 0.938606
